GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C7B001,C7B002,C7B003,C7B004,C7C001,C7C002,C7C003,C7C004,C7C005,C7C006,C7C007,C7C008,C7C009,C7C010,C7C011,C7C012,C7C013,C7C014,C7C015,C7C016,C7C017,C7C018,C7C019,C7C020,C7D001,C7D002,C7D003,C7D004,C7E001,C7E002,C7E003,C7E004,C7E005,C7E006,C7E007,C7E008,C7E009,C7E010,C7E011,C7E012
"G010","1980","3","6","Alabama","01",,,,,,,,,,,,,,,,"ALABAMA",296412,865836,2291625,440015,195900,588995,1754819,332907,98118,271359,520862,105996,633,2001,4536,413,875,1984,6392,483,886,1497,5016,216,3045,8547,18516,3191,1501,3926,9793,1843,1188,3900,6276,1275,356,721,2447,73
"G020","1980","4","9","Alaska","02",,,,,,,,,,,,,,,,"ALASKA",38949,91796,259559,11547,28216,65962,207413,8137,1591,2945,8893,214,7320,19622,34280,2881,835,1615,5376,228,987,1652,3597,87,1291,2425,5705,86,679,1393,2987,34,36,37,148,1,576,995,2570,51
"G040","1980","4","8","Arizona","04",,,,,,,,,,,,,,,,"ARIZONA",213883,577604,1619366,307362,155559,437287,1362251,285664,7389,19342,43159,5087,19607,50103,75900,7135,1631,4650,14667,1084,29697,66222,123389,8392,54763,129250,236891,19797,25039,62520,115435,11505,313,529,810,80,29411,66201,120646,8212
"G050","1980","3","7","Arkansas","05",,,,,,,,,,,,,,,,"ARKANSAS",175592,495782,1302584,312477,132128,385082,1108374,264738,41275,105400,180708,46385,755,2239,5682,752,633,1472,4239,396,801,1589,3581,206,2063,4848,9501,1492,1159,2726,5535,994,441,1160,1783,386,463,962,2183,112
"G060","1980","4","9","California","06",,,,,,,,,,,,,,,,"CALIFORNIA",1708400,4680558,14864694,2414250,1145003,3293225,11457382,2135283,155965,444442,1103523,115351,17042,50383,124310,9634,93800,260785,815630,83603,296590,631723,1363849,70379,547386,1221775,2595663,179507,263140,606589,1286047,111125,4763,9537,19620,1551,279483,605649,1289996,66831
"G080","1980","4","8","Colorado","08",,,,,,,,,,,,,,,,"COLORADO",216495,592318,1833826,247325,182501,509023,1645647,234327,9153,24939,62856,4755,1820,4727,10920,601,2301,6224,20150,1241,20720,47405,94253,6401,38730,96686,188120,16181,19516,51533,99879,10091,281,578,915,45,18933,44575,87326,6045
"G090","1980","1","1","Connecticut","09",,,,,,,,,,,,,,,,"CONNECTICUT",185188,637731,1919793,364864,154556,549523,1744300,351041,19635,61439,125221,11138,340,1050,2842,301,1821,4260,12137,752,8836,21459,35293,1632,15631,38102,66806,3960,7677,18264,35337,2724,584,1293,2421,151,7370,18545,29048,1085
"G100","1980","3","5","Delaware","10",,,,,,,,,,,,,,,,"DELAWARE",41151,125444,368564,59179,30934,96252,308577,52054,9026,26293,53807,6719,86,264,836,142,355,985,2640,132,750,1650,2704,132,1246,2832,5185,398,553,1257,2606,272,130,309,518,49,563,1266,2061,77
"G110","1980","3","5","District Of Columbia","11",,,,,,,,,,,,,,,,"DISTRICT OF COLUMBIA",34365,109126,420555,74287,4563,12073,124718,30414,28684,94704,282753,42765,59,153,732,87,264,746,4973,653,795,1450,7379,368,1150,2565,13001,963,393,776,5796,559,247,869,2433,203,510,920,4772,201
"G120","1980","3","5","Florida","12",,,,,,,,,,,,,,,,"FLORIDA",570224,1789412,5699115,1687573,418330,1370340,4822957,1572886,133876,370545,737275,100992,1374,4112,12690,1081,4586,12879,36030,3245,12058,31536,90163,9369,54251,174615,533696,95596,42393,140903,442414,85508,2211,6618,14741,1719,9647,27094,76541,8369
"G130","1980","3","5","Georgia","13",,,,,,,,,,,,,,,,"GEORGIA",414935,1231195,3300244,516731,268190,823409,2459424,396112,141662,397222,807060,119237,517,1689,5112,298,2221,5029,16450,757,2345,3846,12198,327,5802,15020,36671,3767,2874,7714,20113,2350,1769,5188,8823,1264,1159,2118,7735,153
"G150","1980","4","9","Hawaii","15",,,,,,,,,,,,,,,,"HAWAII",77848,197735,612958,76150,24783,56655,215790,21542,1988,2505,12721,150,280,534,1917,37,44528,126028,359558,53138,6269,12013,22972,1283,9733,20120,38447,2963,2582,5204,10419,834,148,127,414,3,7003,14789,27614,2126
"G160","1980","4","8","Idaho","16",,,,,,,,,,,,,,,,"IDAHO",93531,213134,543590,93680,88178,201285,519993,92185,295,573,1733,115,1199,3404,5396,522,522,1257,3823,346,3337,6615,12645,512,5411,10864,19296,1044,2406,4717,7728,603,7,14,29,0,2998,6133,11539,441
"G170","1980","2","3","Illinois","17",,,,,,,,,,,,,,,,"ILLINOIS",842241,2400796,6921596,1261885,616480,1817397,5662795,1136655,162770,455499,947652,109477,1460,3985,10128,710,15651,33797,103210,6995,45880,90118,197811,8048,83505,172889,362235,16973,41649,87894,181358,10720,1637,4031,7229,592,40219,80964,173648,5661
"G180","1980","2","3","Indiana","18",,,,,,,,,,,,,,,,"INDIANA",418764,1199554,3286522,585384,368577,1069989,3012848,552980,41633,111332,231736,30084,632,1872,4927,405,1761,4626,13351,819,6161,11735,23660,1096,11199,24511,47698,3639,6346,14323,27422,2700,430,867,1520,140,4423,9321,18756,799
"G190","1980","2","4","Iowa","19",,,,,,,,,,,,,,,,"IOWA",221628,604245,1700351,387584,212781,583710,1658924,383810,4544,11206,23262,2688,629,1650,2963,213,1222,3000,6928,427,2452,4679,8274,446,3395,7327,13346,1468,2064,4611,8049,1159,58,117,213,19,1273,2599,5084,290
"G200","1980","2","4","Kansas","20",,,,,,,,,,,,,,,,"KANSAS",180877,468158,1408381,306263,159900,419100,1295577,293644,12541,31772,71755,10059,1488,3829,9260,796,1484,3464,9642,488,5464,9993,22147,1276,8504,17486,34732,2617,4004,8596,15652,1438,204,375,689,49,4296,8515,18391,1130
"G210","1980","3","6","Kentucky","21",,,,,,,,,,,,,,,,"KENTUCKY",282731,799999,2168219,409828,256274,731858,2007765,383109,23986,63605,146028,25858,280,735,2365,230,953,1974,6588,455,1238,1827,5473,176,2485,6524,15905,2492,1779,5091,11406,2235,222,517,1230,189,484,916,3269,68
"G220","1980","3","7","Louisiana","22",,,,,,,,,,,,,,,,"LOUISIANA",361533,968935,2471153,404279,225238,613509,1779158,294267,130198,341856,658564,107623,1169,3425,6832,639,2974,6111,13667,1027,1954,4034,12932,723,9231,24630,58300,6973,6401,17237,41885,5252,1557,4395,7582,1155,1273,2998,8833,566
"G230","1980","1","1","Maine","23",,,,,,,,,,,,,,,,"MAINE",78514,242873,662355,140918,76995,238853,653814,140188,336,702,1941,149,438,1283,2191,175,273,757,1786,131,472,1278,2623,275,579,1357,2767,302,442,1089,2174,285,15,16,36,1,122,252,557,16
"G240","1980","3","5","Maryland","24",,,,,,,,,,,,,,,,"MARYLAND",272274,895256,2653836,395609,185822,624890,2013685,334441,76910,246542,576817,57881,573,2103,5063,282,5656,15167,41165,2290,3313,6554,17106,715,5768,15590,40294,3094,3685,10372,26369,2252,699,2100,4470,417,1384,3118,9455,425
"G250","1980","1","1","Massachusetts","25",,,,,,,,,,,,,,,,"MASSACHUSETTS",337215,1153174,3520117,726531,301519,1054856,3299031,707430,18658,57948,131957,12716,582,1920,4742,499,4178,9563,33110,2650,12278,28887,51277,3236,17900,41815,76175,5153,7850,18472,38803,3560,894,2195,4329,246,9156,21148,33043,1347
"G260","1980","2","3","Michigan","26",,,,,,,,,,,,,,,,"MICHIGAN",685113,2066873,5597834,912258,552415,1689008,4808626,822192,110550,325511,680046,82916,3627,12469,22296,1658,6090,13163,35385,2152,12431,26722,51481,3340,19844,49341,86693,6562,10374,26500,45657,4185,950,2499,4416,476,8520,20342,36620,1901
"G270","1980","2","4","Minnesota","27",,,,,,,,,,,,,,,,"MINNESOTA",307249,864559,2424598,479564,289006,823626,2349149,473989,5927,14561,30297,2559,4312,11396,17770,1538,3594,7534,14511,897,4410,7442,12871,581,4514,9333,16778,1498,2622,5647,9799,1173,93,270,380,29,1799,3416,6599,296
"G280","1980","3","6","Mississippi","28",,,,,,,,,,,,,,,,"MISSISSIPPI",215279,598918,1417084,289357,115955,334377,970666,194192,97384,260002,435492,94328,724,1816,3358,282,702,1695,4577,438,514,1028,2991,117,2410,6855,13339,2127,996,2646,6328,1066,1142,3556,5145,995,272,653,1866,66
